url,name,price,screen_size,ssd,cpu,ram,os,gpu,scraped_at,source
https://www.amazon.com.tr/dp/B0DZ2VCTL5,ACER AG15-51P|I5-1334U|16GB RAM|512 GB SSD| UMA 15.3 İnç FHD Ekran| FREEDOS SILVER,,"15.3""",512GB,I5-1334,16GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0FG7VLDPQ,Acer Aspire Lite Al15-31p-c22x Intel Celeron N-4500 8GB RAM 256 SSD UMA 15.6'' FHD W11 Notebook,9499.0,"15.6""",8GB,CELERON N,8GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DZDFB85P,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gece Yarısı",44299.0,"13""",256GB,M4,16GB,macOS,apple integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0F4DYTQCB,"HP Victus | AMD Ryzen™ 7 8845HS 5 | 16 GB DDR5-5600 | 1 TB PCIe® NVMe™ M.2 SSD | NVIDIA® GeForce RTX™ 4050 | 15, 6 inç FHD IPS 144 Hz | FreeDOS | Gaming Laptop | B9KM3EA",43999.0,"15.6""",1TB,M3,16GB,FreeDOS,rtx3050,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DXQ35H1M,"ASUS Vivobook 15 X1502VA-NJ869 Dizüstü Bilgisayarı, Intel Core i5-13420H İşlemci, 8 GB DDR4 SDRAM, 512 GB M.2 NVMe SSD, Intel® HD Grafik Kartı, 15.6 inç Full HD Ekran, Free Dos",18200.0,"15.6""",512GB,I5-13420,8GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B00OKAJZUC,"Chuwi GemiBook Plus 15.6"" Intel N150 İşlemci, 16GB DDR5 4800Mhz RAM, 512GB SSD, FHD 1080P,WiFi6+BT,W11 Notebook",12699.0,"15.6""",512GB,I5,16GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DW91954Q,"Lenovo LOQ 15IAX9 i5-12600HX, 24 GB RAM, 512 GB SSD, RTX3050 6GB GDDR6 95W, 15.6"" Full HD Freedos Gaming Laptop, 83GS00P5TR",29977.0,"15.6""",512GB,I5-12600,24GB,FreeDOS,rtx3050,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0D9W8NF1C,ACER NITRO ANV15-51-53S1| I5-13420H| 16GB RAM| 512 SSD| RTX3050 6GB| 15.6 İnç 165HZ IPS| FREEDOS| NH.QNCEY.004,,"15.6""",16GB,I5-13420,16GB,FreeDOS,rtx3050,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DLHMLFZL,"Apple M2 çipli MacBook Air laptop 13.6 inç Liquid Retina ekran, 16GB RAM, 256 GB SSD depolama, arkadan aydınlatmalı klavye, 1080p FaceTime HD kamera. iPhone ve iPad ile uyumlu;​​​​​​​ Gece Yarısı",35499.0,"13.6""",256GB,M2,16GB,macOS,apple integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0F246LWJM,"Lenovo Ideapad Slim 3 16IRH10 Intel Core I7 13620H 16GB 1TB SSD Freedos 16"" FHD Taşınabilir Bilgisayar 83K2001VTR",25999.0,"16""",1TB,I7-13620,16GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
